sample_id,label,cluster_id,legacy_scv_cluster_id,x,y,row_10m,col_10m,source,cv_group,fold_id
NKY_PU_MEANOOB_000001,0,-1,-1,1706985.0,1153605.0,70,4887,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000001,0
NKY_PU_MEANOOB_000002,0,-1,-1,1707085.0,1153415.0,89,4897,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000002,3
NKY_PU_MEANOOB_000003,0,-1,-1,1707315.0,1153415.0,89,4920,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000003,3
NKY_PU_MEANOOB_000004,0,-1,-1,1709685.0,1153275.0,103,5157,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000004,4
NKY_PU_MEANOOB_000005,0,-1,-1,1707025.0,1153205.0,110,4891,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000005,4
NKY_PU_MEANOOB_000006,0,-1,-1,1709895.0,1153085.0,122,5178,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000006,1
NKY_PU_MEANOOB_000007,0,-1,-1,1706775.0,1152905.0,140,4866,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000007,4
NKY_PU_MEANOOB_000008,0,-1,-1,1705895.0,1152775.0,153,4778,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000008,4
NKY_PU_MEANOOB_000009,0,-1,-1,1709595.0,1152585.0,172,5148,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000009,4
NKY_PU_MEANOOB_000010,0,-1,-1,1707835.0,1152445.0,186,4972,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000010,3
NKY_PU_MEANOOB_000011,0,-1,-1,1707455.0,1152415.0,189,4934,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000011,4
NKY_PU_MEANOOB_000012,0,-1,-1,1708795.0,1152335.0,197,5068,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000012,0
NKY_PU_MEANOOB_000013,0,-1,-1,1706705.0,1152235.0,207,4859,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000013,4
NKY_PU_MEANOOB_000014,0,-1,-1,1710195.0,1152235.0,207,5208,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000014,4
NKY_PU_MEANOOB_000015,0,-1,-1,1706695.0,1152205.0,210,4858,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000015,0
NKY_PU_MEANOOB_000016,0,-1,-1,1705665.0,1152075.0,223,4755,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000016,4
NKY_PU_MEANOOB_000017,0,-1,-1,1706285.0,1152015.0,229,4817,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000017,2
NKY_PU_MEANOOB_000018,0,-1,-1,1707755.0,1152005.0,230,4964,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000018,2
NKY_PU_MEANOOB_000019,0,-1,-1,1709725.0,1151945.0,236,5161,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000019,1
NKY_PU_MEANOOB_000020,0,-1,-1,1709125.0,1151935.0,237,5101,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000020,4
NKY_PU_MEANOOB_000021,0,-1,-1,1709445.0,1151865.0,244,5133,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000021,4
NKY_PU_MEANOOB_000022,0,-1,-1,1710335.0,1151845.0,246,5222,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000022,1
NKY_PU_MEANOOB_000023,0,-1,-1,1704855.0,1151815.0,249,4674,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000023,1
NKY_PU_MEANOOB_000024,0,-1,-1,1714595.0,1151815.0,249,5648,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000024,2
NKY_PU_MEANOOB_000025,0,-1,-1,1715585.0,1151665.0,264,5747,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000025,4
NKY_PU_MEANOOB_000026,0,-1,-1,1713185.0,1151625.0,268,5507,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000026,1
NKY_PU_MEANOOB_000027,0,-1,-1,1716825.0,1151615.0,269,5871,pu_mean_oob_random_negative,NKY_PU_MEANOOB_000027,0
