epoch,train_loss,val_loss,train_pos_sim,train_neg_sim,val_pos_sim,val_neg_sim,train_embedding_norm,val_embedding_norm,lr,epoch_time_sec,temperature,batch_size,projection_dim,train_aug_noise_std,train_channel_drop_prob,train_block_mask_ratio,val_aug_noise_std,val_channel_drop_prob,val_block_mask_ratio,amp_enabled
1,0.7812647644042969,0.8559383911132813,0.9778094618055555,-0.010305917527940538,0.98826796875,0.0293026123046875,1.0,1.0,0.001,108.07365798950195,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
2,0.6848522013346354,0.8240985046386718,0.9890894097222223,-0.012674934895833333,0.99186328125,0.02935244140625,1.0,1.0,0.001,107.79850435256958,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
3,0.6650321041531033,0.8005487121582031,0.9922046875,-0.013167274305555556,0.9917515625,0.0235827392578125,1.0,1.0,0.001,109.23357319831848,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
4,0.6562682000054253,0.75519111328125,0.9937772569444444,-0.01341650390625,0.99490078125,0.016003955078125,1.0,1.0,0.001,110.15082740783691,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
5,0.6513819854736328,0.7621770874023438,0.9947041666666666,-0.013671961805555556,0.99565703125,0.01896409912109375,1.0,1.0,0.001,106.38184523582458,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
6,0.6484767293294271,0.7561196716308594,0.9952427083333333,-0.013858854166666667,0.995978125,0.0181838134765625,1.0,1.0,0.001,111.0328962802887,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
7,0.6458513593885634,0.7607934692382813,0.99553125,-0.013975054253472223,0.9963828125,0.0184381591796875,1.0,1.0,0.001,108.45106649398804,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
8,0.6429317620171441,0.7514212951660156,0.9960966145833333,-0.014026302083333334,0.996071875,0.01652171630859375,1.0,1.0,0.001,106.9356141090393,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
9,0.6417329060872395,0.7454464660644531,0.9962069444444445,-0.0141578125,0.996940625,0.01466490478515625,1.0,1.0,0.001,106.09574890136719,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
10,0.639854764811198,0.7352871887207031,0.9963177951388889,-0.014194249131944444,0.996490625,0.012140451812744141,1.0,1.0,0.001,104.67546057701111,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
11,0.6370425472683376,0.7435910766601562,0.9967875,-0.014245735677083333,0.99657265625,0.014175912475585938,1.0,1.0,0.001,105.18130803108215,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
12,0.6356942057291667,0.7534232360839844,0.9969801215277778,-0.014330208333333334,0.99716640625,0.0152626953125,1.0,1.0,0.001,104.16740608215332,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
13,0.6340792490641276,0.7368368286132813,0.9971440104166667,-0.014380078125,0.99737265625,0.011218866729736328,1.0,1.0,0.001,102.49205732345581,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
14,0.6334208370632596,0.7343491455078125,0.99705234375,-0.014384700520833333,0.997809375,0.011457080078125,1.0,1.0,0.001,102.08915853500366,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
15,0.6314955698649088,0.7457465393066406,0.9974065104166666,-0.014432476128472222,0.9972765625,0.014107835388183594,1.0,1.0,0.001,101.94471168518066,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
16,0.6311112477620443,0.7310492919921875,0.9972759548611111,-0.014463346354166667,0.9976078125,0.010025613403320312,1.0,1.0,0.001,103.79552268981934,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
17,0.6294850762261285,0.7265956420898437,0.9974689236111111,-0.014475651041666667,0.9980234375,0.00915684814453125,1.0,1.0,0.001,103.92862391471863,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
18,0.6280727905273438,0.730519775390625,0.9976288194444445,-0.01447292751736111,0.99822265625,0.00954722900390625,1.0,1.0,0.001,103.11807107925415,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
19,0.6271343271891276,0.7437245849609375,0.9977258680555555,-0.014485091145833334,0.9978921875,0.011777825927734374,1.0,1.0,0.001,102.82764148712158,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
