method,seed,fraction,mean_train_n,mean_fold_auc,fold_aucs
masked_recon,7,0.05,102,0.674968594302374,0.6511;0.7096;0.6438;0.6645;0.7058
masked_recon,42,0.05,102,0.6079117589873138,0.6403;0.5136;0.6752;0.5723;0.6381
masked_recon,123,0.05,102,0.6744096830084756,0.6473;0.7440;0.6649;0.6182;0.6977
masked_recon,7,0.1,204,0.6884291993465417,0.6322;0.7092;0.6735;0.5677;0.8596
masked_recon,42,0.1,204,0.6384583391966403,0.6178;0.6966;0.6310;0.5721;0.6748
masked_recon,123,0.1,204,0.6577251707897837,0.6525;0.7303;0.6689;0.6445;0.5924
masked_recon,7,0.25,511,0.6254563418237871,0.6625;0.6950;0.6907;0.5759;0.5032
masked_recon,42,0.25,511,0.6924670750400884,0.6376;0.7242;0.6866;0.6137;0.8003
masked_recon,123,0.25,511,0.6834543769407084,0.6599;0.7445;0.6742;0.5739;0.7647
masked_recon,7,0.5,1023,0.6667658643985257,0.6345;0.7306;0.6711;0.6443;0.6534
masked_recon,42,0.5,1023,0.6721586086055364,0.6420;0.7403;0.6863;0.6236;0.6686
masked_recon,123,0.5,1023,0.7326676831247837,0.6758;0.7625;0.7128;0.6555;0.8568
masked_recon,7,1.0,2046,0.6648441301298129,0.6333;0.7524;0.6370;0.6531;0.6485
masked_recon,42,1.0,2046,0.6666756166131729,0.6623;0.7648;0.7185;0.5998;0.5880
masked_recon,123,1.0,2046,0.694034912423298,0.6637;0.7313;0.6967;0.6582;0.7203
scratch,7,0.05,102,0.7005099343268576,0.6355;0.7421;0.6598;0.6066;0.8586
scratch,42,0.05,102,0.6914494017766717,0.6715;0.7574;0.7074;0.5557;0.7653
scratch,123,0.05,102,0.6212954580954785,0.6390;0.7336;0.5824;0.5840;0.5674
scratch,7,0.1,204,0.6725063730785025,0.6505;0.7540;0.6330;0.5809;0.7441
scratch,42,0.1,204,0.6963779279114235,0.6503;0.7634;0.7240;0.6018;0.7423
scratch,123,0.1,204,0.6703258085118061,0.6527;0.6967;0.6366;0.6019;0.7637
scratch,7,0.25,511,0.6390124647906161,0.5685;0.7521;0.7017;0.6242;0.5487
scratch,42,0.25,511,0.682285817998823,0.6277;0.7379;0.6947;0.6125;0.7387
scratch,123,0.25,511,0.6781804976141729,0.6581;0.7751;0.7117;0.5602;0.6858
scratch,7,0.5,1023,0.6843016336593599,0.6491;0.7734;0.7047;0.5950;0.6993
scratch,42,0.5,1023,0.7191851229799577,0.6697;0.7647;0.7212;0.5765;0.8638
scratch,123,0.5,1023,0.6702861529330364,0.6348;0.7233;0.6738;0.5221;0.7974
scratch,7,1.0,2046,0.6951480194617305,0.6257;0.7585;0.7446;0.5646;0.7824
scratch,42,1.0,2046,0.6841371504075757,0.6631;0.7923;0.6983;0.5293;0.7376
scratch,123,1.0,2046,0.7007859474978602,0.6339;0.7737;0.7436;0.5836;0.7691
