method,seed,fraction,mean_train_n,mean_fold_auc,fold_aucs
scratch,7,0.05,102,0.7005099343268576,0.6355;0.7421;0.6598;0.6066;0.8586
scratch,7,0.1,204,0.6725063730785025,0.6505;0.7540;0.6330;0.5809;0.7441
scratch,7,0.25,511,0.6390124647906161,0.5685;0.7521;0.7017;0.6242;0.5487
scratch,7,0.5,1023,0.6843016336593599,0.6491;0.7734;0.7047;0.5950;0.6993
scratch,7,1.0,2046,0.6951480194617305,0.6257;0.7585;0.7446;0.5646;0.7824
masked_recon,7,0.05,102,0.674968594302374,0.6511;0.7096;0.6438;0.6645;0.7058
masked_recon,7,0.1,204,0.6884291993465417,0.6322;0.7092;0.6735;0.5677;0.8596
masked_recon,7,0.25,511,0.6254563418237871,0.6625;0.6950;0.6907;0.5759;0.5032
masked_recon,7,0.5,1023,0.6667658643985257,0.6345;0.7306;0.6711;0.6443;0.6534
masked_recon,7,1.0,2046,0.6648441301298129,0.6333;0.7524;0.6370;0.6531;0.6485
