epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,learning_rate,fold,encoder_learning_rate,head_learning_rate
1,-2.4892421414322176e+16,0.7250274419784546,0.08018433179723503,0.3623046875,0.0,0.0,1e-05,3,1e-05,0.0001
2,-2.0233226973882115e+17,0.800613060593605,0.7208099956915123,0.359375,0.0,0.0,1e-05,3,1e-05,0.0001
3,-3.797652558304535e+17,0.9635926187038422,,0.2880859375,0.0,0.0,1e-05,3,1e-05,0.0001
4,-5.730009808027513e+17,1.1554030179977417,,0.2919921875,0.0,0.0,1e-05,3,1e-05,0.0001
5,-7.221083388975077e+17,1.391928344964981,,0.2802734375,0.0,0.0,1e-05,3,1e-05,0.0001
6,-8.917936690366705e+17,1.611866980791092,,0.310546875,0.0,0.0,1e-05,3,1e-05,0.0001
7,-1.0604771542862793e+18,1.876807987689972,,0.3232421875,0.0,0.0,1e-05,3,1e-05,0.0001
8,-1.3011384906203832e+18,2.1517274975776672,,0.3388671875,0.0,0.0,1e-05,3,1e-05,0.0001
9,-1.4483270493055076e+18,2.466338634490967,,0.337890625,0.0,0.0,1e-05,3,1e-05,0.0001
10,-1.6799198100750774e+18,2.757757842540741,,0.3203125,0.0,0.0,1e-05,3,1e-05,0.0001
11,-1.8969762373968584e+18,3.0222559571266174,,0.3408203125,0.0,0.0,1e-05,3,1e-05,0.0001
12,-2.0334213370727421e+18,3.324294090270996,,0.330078125,0.0,0.0,1e-05,3,1e-05,0.0001
13,-2.112599695647751e+18,3.5821168422698975,,0.3125,0.0,0.0,1e-05,3,1e-05,0.0001
14,-2.397094319607863e+18,3.869449257850647,,0.31640625,0.0,0.0,1e-05,3,1e-05,0.0001
15,-2.523288593841446e+18,4.155782401561737,,0.3076171875,0.0,0.0,1e-05,3,1e-05,0.0001
16,-2.6255878756080527e+18,4.390516877174377,,0.3095703125,0.0,0.0,1e-05,3,1e-05,0.0001
