epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,learning_rate,fold,encoder_learning_rate,head_learning_rate
1,-1.4067376728344077e+17,0.7296602129936218,0.6051805337519623,0.5471938775510204,0.0,0.0,1e-05,4,1e-05,0.0001
2,-2.033721840303985e+17,0.8049407260758537,0.4720496894409938,0.49362244897959184,0.0,0.0,1e-05,4,1e-05,0.0001
3,-4.136234356969094e+17,0.9057349136897496,,0.5038265306122449,0.0,0.0,1e-05,4,1e-05,0.0001
4,-4.765040889995008e+17,1.0509641851697649,,0.5114795918367347,0.0,0.0,1e-05,4,1e-05,0.0001
5,-6.703333904606607e+17,1.2210447447640556,,0.5165816326530612,0.0,0.0,1e-05,4,1e-05,0.0001
6,-8.352900675816819e+17,1.4033753701618739,,0.5051020408163265,0.0,0.0,1e-05,4,1e-05,0.0001
7,-8.547156217953828e+17,1.5660299573625838,,0.5331632653061225,0.0,0.0,1e-05,4,1e-05,0.0001
8,-9.759575645252319e+17,1.738579341343471,,0.5586734693877551,0.0,0.0,1e-05,4,1e-05,0.0001
9,-1.1812383245697e+18,1.9290096248899187,,0.5714285714285714,0.0,0.0,1e-05,4,1e-05,0.0001
10,-1.3203113197462093e+18,2.127197367804391,,0.5854591836734694,0.0,0.0,1e-05,4,1e-05,0.0001
11,-1.406939766819928e+18,2.315811429704939,,0.6058673469387755,0.0,0.0,1e-05,4,1e-05,0.0001
12,-1.537205653866831e+18,2.4862185205732072,,0.6122448979591837,0.0,0.0,1e-05,4,1e-05,0.0001
13,-1.692719169125473e+18,2.704437358038766,,0.6275510204081632,0.0,0.0,1e-05,4,1e-05,0.0001
14,-1.4600598223812534e+18,2.8274828365870883,0.5617173524150268,0.6352040816326531,0.0,0.0,1e-05,4,1e-05,0.0001
15,-1.7700816993595448e+18,2.918912206377302,0.6754032258064516,0.6454081632653061,0.0,0.0,1e-05,4,1e-05,0.0001
16,-2.0428618180822303e+18,3.0812859194619313,,0.6364795918367347,0.0,0.0,1e-05,4,1e-05,0.0001
17,-2.0195469538909274e+18,3.2430165835789273,,0.6441326530612245,0.0,0.0,1e-05,4,1e-05,0.0001
18,-2.053040442022984e+18,3.4455453668321883,,0.6415816326530612,0.0,0.0,1e-05,4,1e-05,0.0001
19,-2.126492501678399e+18,3.60967949458531,0.5607333842627961,0.6275510204081632,0.0,0.0,1e-05,4,1e-05,0.0001
20,-2.5338618696317747e+18,3.8088672842298235,,0.6173469387755102,0.0,0.0,1e-05,4,1e-05,0.0001
21,-2.5567087217009347e+18,4.027415786470685,,0.6045918367346939,0.0,0.0,1e-05,4,1e-05,0.0001
22,-2.7189355051141683e+18,4.176441465105329,,0.6211734693877551,0.0,0.0,1e-05,4,1e-05,0.0001
23,-2.841622471005262e+18,4.334448269435337,,0.6007653061224489,0.0,0.0,1e-05,4,1e-05,0.0001
24,-3.1016192077476516e+18,4.476533617292132,,0.5994897959183674,0.0,0.0,1e-05,4,1e-05,0.0001
25,-2.8877385525353917e+18,4.582240104675293,,0.6033163265306123,0.0,0.0,1e-05,4,1e-05,0.0001
26,-2.685197425622733e+18,4.664614541190011,0.559316464015774,0.6033163265306123,0.0,0.0,1e-05,4,1e-05,0.0001
27,-3.0872459369513723e+18,4.727358545575823,,0.5969387755102041,0.0,0.0,1e-05,4,1e-05,0.0001
28,-2.8821697960208333e+18,4.7872812407357355,0.648048048048048,0.6045918367346939,0.0,0.0,1e-05,4,1e-05,0.0001
29,-2.990909981680501e+18,4.8371453285217285,0.6666666666666666,0.6033163265306123,0.0,0.0,1e-05,4,1e-05,0.0001
30,-3.2050908685382856e+18,4.917045797620501,,0.5982142857142857,0.0,0.0,1e-05,4,1e-05,0.0001
