epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,learning_rate,fold,encoder_learning_rate,head_learning_rate
1,-1.2146065428496902e+16,0.690899928410848,,0.5833333333333334,0.0,0.6349206349206349,5e-06,2,5e-06,2e-05
2,2.6692466214682452e+16,0.6913004517555237,,0.578125,0.0,0.4736842105263159,5e-06,2,5e-06,2e-05
3,-1.1589727825883782e+16,0.6920551458994547,0.5717552887364208,0.5885416666666666,0.08695652173913042,0.14285714285714285,5e-06,2,5e-06,2e-05
4,-1.862401274005215e+16,0.6950310866038004,,0.5902777777777778,0.0,0.0,5e-06,2,5e-06,2e-05
5,-1.2363000423311296e+17,0.7014859120051066,,0.5729166666666666,0.0,0.0,5e-06,2,5e-06,2e-05
6,-1.3720379203184576e+17,0.7088487346967062,,0.5677083333333334,0.0,0.0,5e-06,2,5e-06,2e-05
7,-1.6297524050905904e+17,0.716508706410726,0.7772151898734178,0.5590277777777778,0.20000000000000004,0.0,5e-06,2,5e-06,2e-05
8,-2.140084046866319e+17,0.7257219751675924,,0.546875,0.0,0.0,5e-06,2,5e-06,2e-05
9,-2.6485779381429552e+17,0.7363322377204895,,0.53125,0.0,0.0,5e-06,2,5e-06,2e-05
10,-2.964860660808155e+17,0.7500099142392477,,0.5190972222222222,0.0,0.0,5e-06,2,5e-06,2e-05
11,-3.416861478276191e+17,0.7642171184221903,,0.5208333333333334,0.0,0.0,5e-06,2,5e-06,2e-05
12,-3.9330200036242054e+17,0.7797195911407471,,0.5451388888888888,0.0,0.0,5e-06,2,5e-06,2e-05
13,-4.416140812280853e+17,0.7982732256253561,,0.5642361111111112,0.0,0.0,5e-06,2,5e-06,2e-05
14,-5.0521570965559155e+17,0.8211046457290649,,0.5399305555555556,0.0,0.0,5e-06,2,5e-06,2e-05
15,-5.610275014652833e+17,0.841988186041514,,0.5364583333333334,0.0,0.0,5e-06,2,5e-06,2e-05
16,-5.674065482032321e+17,0.8583442370096842,,0.5434027777777778,0.0,0.0,5e-06,2,5e-06,2e-05
