epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,learning_rate,fold,encoder_learning_rate,head_learning_rate
1,1065591318955881.1,0.6786957780520121,0.4146341463414634,0.7065972222222222,0.04580152671755725,0.6382978723404256,1e-05,2,1e-05,0.0001
2,-1657798117009860.8,0.6909492015838623,0.7346938775510204,0.78125,0.19354838709677416,0.0,1e-05,2,1e-05,0.0001
3,-3790119298477519.5,0.74623175462087,0.15701219512195122,0.7465277777777778,0.0,0.0,1e-05,2,1e-05,0.0001
4,-6749107477854014.0,0.8285975654919943,,0.7013888888888888,0.0,0.0,1e-05,2,1e-05,0.0001
5,-9322892846236338.0,0.9388012488683065,,0.65625,0.0,0.0,1e-05,2,1e-05,0.0001
6,-1.2717781896178806e+16,1.0783568223317463,,0.6284722222222222,0.0,0.0,1e-05,2,1e-05,0.0001
7,-1.326949758276179e+16,1.2264516750971477,0.40950384346610763,0.6736111111111112,0.0,0.0,1e-05,2,1e-05,0.0001
8,-1.7472308601879886e+16,1.3563989003499348,,0.7222222222222222,0.0,0.0,1e-05,2,1e-05,0.0001
9,-1.9132385933705732e+16,1.5003859599431355,,0.7326388888888888,0.0,0.0,1e-05,2,1e-05,0.0001
10,-2.1119295493027644e+16,1.6709589958190918,,0.7430555555555556,0.0,0.0,1e-05,2,1e-05,0.0001
11,-2.463731276713475e+16,1.8482338587443035,,0.7586805555555556,0.0,0.0,1e-05,2,1e-05,0.0001
12,-2.4423814848155348e+16,2.000245292981466,0.5761316872427984,0.7638888888888888,0.0,0.0,1e-05,2,1e-05,0.0001
13,-2.821008327895527e+16,2.141700108846029,,0.7690972222222222,0.0,0.0,1e-05,2,1e-05,0.0001
14,-3.114332974703265e+16,2.328403870264689,,0.7638888888888888,0.0,0.0,1e-05,2,1e-05,0.0001
15,-3.4739361485257028e+16,2.5027617613474527,,0.7430555555555556,0.0,0.0,1e-05,2,1e-05,0.0001
16,-3.38831512552852e+16,2.670610030492147,0.27361963190184047,0.71875,0.0,0.0,1e-05,2,1e-05,0.0001
17,-3.576128945674063e+16,2.8426241874694824,0.44365572315882873,0.7152777777777778,0.0,0.0,1e-05,2,1e-05,0.0001
