epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,learning_rate,fold,encoder_learning_rate,head_learning_rate
1,-9.002925597655493e+16,0.7050999573298863,0.5178942987931752,0.5701530612244898,0.05405405405405406,0.0689655172413793,5e-06,0,5e-06,2e-05
2,-1.3174695092371005e+17,0.7137633306639535,0.4810936591041303,0.5676020408163265,0.0,0.0,5e-06,0,5e-06,2e-05
3,-1.1378477208957051e+17,0.7213514021464756,,0.5548469387755102,0.0,0.0,5e-06,0,5e-06,2e-05
4,-1.3519918741714478e+17,0.7284263287271772,0.5002732240437159,0.5676020408163265,0.0,0.0,5e-06,0,5e-06,2e-05
5,-1.9915289355320275e+17,0.7351395572934832,0.7450261780104712,0.5931122448979592,0.0,0.0,5e-06,0,5e-06,2e-05
6,-2.3158642760168243e+17,0.7481065562793187,,0.5931122448979592,0.0,0.0,5e-06,0,5e-06,2e-05
7,-2.7990148588107363e+17,0.7627474069595337,0.5514619883040935,0.5918367346938775,0.0,0.0,5e-06,0,5e-06,2e-05
8,-2.7670409758705488e+17,0.7770588823727199,0.3827806864456079,0.5943877551020408,0.0,0.0,5e-06,0,5e-06,2e-05
9,-2.6242280488757776e+17,0.7954344579151699,0.5588768115942029,0.5982142857142857,0.0,0.0,5e-06,0,5e-06,2e-05
10,-3.55147395006801e+17,0.8125841276986259,,0.5918367346938775,0.0,0.0,5e-06,0,5e-06,2e-05
11,-3.0887915032864915e+17,0.8327258484704154,0.3408163265306122,0.5816326530612245,0.0,0.0,5e-06,0,5e-06,2e-05
12,-4.247648868205855e+17,0.8556927527700152,0.5901315789473685,0.5803571428571429,0.0,0.0,5e-06,0,5e-06,2e-05
13,-4.102540782092494e+17,0.8740527289254325,0.591812865497076,0.6033163265306123,0.0,0.0,5e-06,0,5e-06,2e-05
14,-2.582012197410424e+17,0.8914329409599304,0.5283333333333333,0.5956632653061225,0.0,0.0,5e-06,0,5e-06,2e-05
15,-3.357682213514636e+17,0.9090699298041207,0.46282051282051284,0.6045918367346939,0.0,0.0,5e-06,0,5e-06,2e-05
16,-4.266719394264889e+17,0.9213133880070278,0.7044270833333334,0.6135204081632653,0.0,0.0,5e-06,0,5e-06,2e-05
17,-4.5344145451590803e+17,0.9514590757233756,0.7169230769230769,0.6211734693877551,0.0,0.0,5e-06,0,5e-06,2e-05
18,-4.564706311388341e+17,0.9724922946521214,0.6366300366300366,0.6237244897959183,0.0,0.0,5e-06,0,5e-06,2e-05
19,-4.933717801924222e+17,1.0034614205360413,0.5406593406593406,0.6326530612244898,0.0,0.0,5e-06,0,5e-06,2e-05
20,-5.761034282042655e+17,1.0313910416194372,0.5026315789473684,0.6415816326530612,0.0,0.0,5e-06,0,5e-06,2e-05
21,-6.012085035732641e+17,1.0621406265667506,0.42782348541510845,0.6415816326530612,0.0,0.0,5e-06,0,5e-06,2e-05
22,-4.950272516885792e+17,1.0842755351747786,0.6393716577540107,0.6594387755102041,0.0,0.0,5e-06,0,5e-06,2e-05
23,-5.1738386737540064e+17,1.1077532768249512,0.6735042735042736,0.6479591836734694,0.0,0.0,5e-06,0,5e-06,2e-05
24,-6.566827183937946e+17,1.1411603348595756,,0.6415816326530612,0.0,0.0,5e-06,0,5e-06,2e-05
25,-5.5650230883266605e+17,1.172374691282,0.5391025641025641,0.6428571428571429,0.0,0.0,5e-06,0,5e-06,2e-05
26,-6.200126823343677e+17,1.204895990235465,,0.6288265306122449,0.0,0.0,5e-06,0,5e-06,2e-05
27,-6.42551659166071e+17,1.2358426366533553,0.46131471785922046,0.5943877551020408,0.0,0.0,5e-06,0,5e-06,2e-05
28,-6.657299782394646e+17,1.2448994261877877,0.506806282722513,0.5931122448979592,0.0,0.0,5e-06,0,5e-06,2e-05
29,-6.302282546778038e+17,1.264810996396201,0.5949197860962567,0.5880102040816326,0.0,0.0,5e-06,0,5e-06,2e-05
30,-7.980740401769315e+17,1.2998065863336836,0.5719895287958116,0.5854591836734694,0.0,0.0,5e-06,0,5e-06,2e-05
31,-5.2844746457655994e+17,1.327302098274231,,0.5714285714285714,0.0,0.0,5e-06,0,5e-06,2e-05
32,-7.760330141600461e+17,1.340749910899571,,0.5676020408163265,0.0,0.0,5e-06,0,5e-06,2e-05
33,-8.242760158619517e+17,1.3734805243355888,,0.5778061224489796,0.0,0.0,5e-06,0,5e-06,2e-05
34,-7.807062871037932e+17,1.411697472844805,0.6126943005181347,0.5701530612244898,0.0,0.0,5e-06,0,5e-06,2e-05
