setup,seed,fold,AUC,PR-AUC,best_threshold
A,42,0,0.4150390625,0.4522697269681056,0.8604129552841187
A,42,1,0.7317554240631163,0.7383355897844024,0.8689389228820801
A,42,2,0.6493414026343894,0.5537158518799492,0.44233831763267517
A,42,3,0.3163265306122449,0.40625960615319406,0.3398813009262085
A,42,4,0.6384083044982699,0.662180114847471,0.5
A,123,0,0.60546875,0.5889872859191689,0.6704229116439819
A,123,1,0.6706114398422091,0.6786727439705713,0.8456031084060669
A,123,2,0.5482378070487718,0.5232072645367796,0.7496122121810913
A,123,3,0.4489795918367347,0.520860074750235,0.8429079651832581
A,123,4,0.717128027681661,0.6555544822043302,0.34855130314826965
A,7,0,0.8203125,0.8602117634953639,0.533316969871521
A,7,1,0.4339250493096647,0.518456467846107,0.4505001902580261
A,7,2,0.4784620861516554,0.45481003545177456,0.5291903018951416
A,7,3,0.40816326530612246,0.4680288265436238,0.4429003894329071
A,7,4,0.6349480968858131,0.5594124034645556,0.6557165384292603
B,42,0,0.4365234375,0.4890774354955033,0.584001362323761
B,42,1,0.5857988165680473,0.6497443207397614,0.9688310623168945
B,42,2,0.48131007475970095,0.4534204382640248,0.72665935754776
