epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,learning_rate,fold,encoder_learning_rate,head_learning_rate
1,9.076120053515176e+16,0.7271124635423932,0.6151315789473685,0.22066326530612246,0.0,0.0,5e-06,0,5e-06,2e-05
2,1.0296544142032896e+17,0.7165445770536151,,0.24872448979591838,0.0,0.0,5e-06,0,5e-06,2e-05
3,3.3749007522969308e+16,0.711064304624285,,0.26658163265306123,0.0,0.0,5e-06,0,5e-06,2e-05
4,3630695957884343.0,0.7090403693062919,0.6154513888888888,0.2767857142857143,0.05940594059405941,0.3103448275862069,5e-06,0,5e-06,2e-05
5,-8027311803877669.0,0.7099194782120841,0.6404255319148936,0.2780612244897959,0.10687022900763359,0.625,5e-06,0,5e-06,2e-05
6,-6.769560070944007e+16,0.7137846691267831,0.5819148936170213,0.27168367346938777,0.10526315789473685,0.6666666666666666,5e-06,0,5e-06,2e-05
7,-7.129978101563392e+16,0.7201366254261562,,0.2869897959183674,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
8,-1.0750174476939147e+17,0.7272981575557164,0.5280830280830281,0.3201530612244898,0.1619047619047619,0.6666666666666666,5e-06,0,5e-06,2e-05
9,-1.1269638131915162e+17,0.7337913853781564,,0.3596938775510204,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
10,-1.7477620982342333e+17,0.7438688107899257,,0.3826530612244898,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
11,-2.237335903884879e+17,0.7586559397833688,,0.4247448979591837,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
12,-2.1136870964221894e+17,0.7736553294318063,,0.4489795918367347,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
13,-2.3589377483412976e+17,0.793371183531625,0.6873180873180873,0.47066326530612246,0.12322274881516587,0.6666666666666666,5e-06,0,5e-06,2e-05
14,-2.8318536644547613e+17,0.812888503074646,,0.49107142857142855,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
15,-3.460031912038517e+17,0.8345478773117065,,0.5038265306122449,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
16,-3.639625417310676e+17,0.8578053542545864,,0.5153061224489796,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
17,-4.0693786546289286e+17,0.8865336690630231,,0.5216836734693877,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
18,-4.333550950633589e+17,0.9091635261263166,,0.5280612244897959,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
19,-4.4359780915313754e+17,0.9410584824425834,,0.5306122448979592,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
20,-4.734588662448877e+17,0.9763268232345581,,0.5446428571428571,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
21,-4.9915246012118746e+17,1.0064925466264998,0.6835526315789474,0.5650510204081632,0.07766990291262137,0.6666666666666666,5e-06,0,5e-06,2e-05
22,-5.499821954785046e+17,1.0375594411577498,,0.5816326530612245,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
23,-6.313565209285286e+17,1.0691077028002058,,0.5943877551020408,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
24,-6.371033687863366e+17,1.100711362702506,,0.6084183673469388,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
25,-6.214329130917747e+17,1.1355299609048026,,0.6147959183673469,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
26,-6.485837451948009e+17,1.1745723145348685,0.6675347222222222,0.6211734693877551,0.05882352941176471,0.6666666666666666,5e-06,0,5e-06,2e-05
27,-7.183317537019096e+17,1.2064620426722936,,0.639030612244898,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
28,-7.29139040015614e+17,1.2370856659752982,,0.6364795918367347,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
29,-7.615456088731532e+17,1.2783256598881312,,0.6364795918367347,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
30,-8.316408642590099e+17,1.3282546656472343,,0.6543367346938775,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
31,-8.137145493931014e+17,1.3656470605305262,0.5093492894540015,0.6696428571428571,0.06829268292682927,0.6666666666666666,5e-06,0,5e-06,2e-05
32,-7.05274051781123e+17,1.3853204080036707,0.7135135135135136,0.6709183673469388,0.13953488372093023,0.6666666666666666,5e-06,0,5e-06,2e-05
33,-8.348111636902145e+17,1.4163564784186227,0.6484667165295438,0.6823979591836735,0.06829268292682927,0.6666666666666666,5e-06,0,5e-06,2e-05
34,-9.160948137906854e+17,1.4540270737239294,,0.6836734693877551,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
35,-9.030968045525121e+17,1.4907736778259277,,0.6849489795918368,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
36,-9.453439239421016e+17,1.533978853906904,,0.6836734693877551,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
37,-1.0064117225531825e+18,1.582500968660627,,0.6823979591836735,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
38,-1.0226414026238198e+18,1.631821530205863,,0.6772959183673469,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
39,-9.508745950517002e+17,1.6866151264735632,0.6778365667254557,0.6670918367346939,0.08695652173913045,0.6666666666666666,5e-06,0,5e-06,2e-05
40,-1.0853535552339781e+18,1.7359051023210799,,0.6607142857142857,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
41,-1.1235165681333979e+18,1.7851689543042863,,0.673469387755102,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
42,-1.1721248187833385e+18,1.8291055134364538,,0.6798469387755102,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
43,-1.1001966480627747e+18,1.8638473919459753,0.6095744680851064,0.6798469387755102,0.09615384615384615,0.6666666666666666,5e-06,0,5e-06,2e-05
44,-1.2121584200163187e+18,1.9108977999005998,,0.6887755102040817,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
45,-1.252331325445711e+18,1.9602385589054652,,0.701530612244898,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
46,-1.3438708420529544e+18,2.001458236149379,,0.6977040816326531,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
47,-1.3392050840946232e+18,2.052327428545271,,0.6977040816326531,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
48,-1.3315827393692022e+18,2.097470896584647,,0.6977040816326531,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
49,-1.4149783598738028e+18,2.1487384864262173,,0.7002551020408163,0.0,0.6666666666666666,5e-06,0,5e-06,2e-05
