epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,learning_rate,fold,encoder_learning_rate,head_learning_rate
1,1.0411669485819624e+16,0.7088980674743652,0.6374458874458875,0.6614583333333334,0.18947368421052632,0.6666666666666666,5e-06,2,5e-06,2e-05
2,9744285142086968.0,0.6999282638231913,0.7035755478662054,0.6788194444444444,0.18279569892473116,0.6666666666666666,5e-06,2,5e-06,2e-05
3,8807845844183320.0,0.6919756134351095,,0.6631944444444444,0.0,0.6666666666666666,5e-06,2,5e-06,2e-05
4,5143012933011133.0,0.6876229445139567,,0.6684027777777778,0.0,0.6666666666666666,5e-06,2,5e-06,2e-05
5,4355156681237256.0,0.6840481559435526,,0.6770833333333334,0.0,0.6567164179104478,5e-06,2,5e-06,2e-05
6,2530372983337089.5,0.6834175984064738,,0.6684027777777778,0.0,0.6785714285714286,5e-06,2,5e-06,2e-05
7,2002197548392706.8,0.684025764465332,,0.671875,0.0,0.26666666666666666,5e-06,2,5e-06,2e-05
8,-4829464570305956.0,0.6864476402600607,0.6341772151898735,0.6770833333333334,0.12820512820512822,0.07999999999999999,5e-06,2,5e-06,2e-05
9,-3298423265039759.0,0.6911707917849222,,0.6579861111111112,0.0,0.0,5e-06,2,5e-06,2e-05
10,-4473121908614758.5,0.6966797709465027,0.6617749825296995,0.6423611111111112,0.0,0.0,5e-06,2,5e-06,2e-05
11,-6586120685646126.0,0.7035210132598877,,0.6458333333333334,0.0,0.0,5e-06,2,5e-06,2e-05
12,-8018486186790093.0,0.7112074693044027,0.6263333333333333,0.6388888888888888,0.14285714285714288,0.0,5e-06,2,5e-06,2e-05
13,-8983638974285328.0,0.7188433607419332,0.8883435582822086,0.6302083333333334,0.0,0.0,5e-06,2,5e-06,2e-05
14,-1.3557738093680014e+16,0.7267825802167257,,0.6354166666666666,0.0,0.0,5e-06,2,5e-06,2e-05
