arm,seed,fold,AUC,PR_AUC
30m,42,0,0.3719758064516129,0.4505840911465752
30m,42,1,0.5134779750164365,0.519091953405634
30m,42,2,0.4770380918476326,0.4783507901726066
30m,42,3,0.5952380952380952,0.6283609266705193
30m,42,4,0.5709342560553633,0.6105302322500239
30m,123,0,0.2258064516129032,0.3793373552160092
30m,123,1,0.6134122287968442,0.6407896649260244
30m,123,2,0.2983268066927732,0.3987408878271298
30m,123,3,0.494047619047619,0.5160652916332877
30m,123,4,0.7352941176470589,0.6578341534115294
30m,7,0,0.717741935483871,0.6573337275812179
30m,7,1,0.819197896120973,0.8347542895961257
30m,7,2,0.5857956568173728,0.5686899447481965
30m,7,3,0.5476190476190477,0.617618896251379
30m,7,4,0.4974048442906574,0.6011378484835513
30m,1,0,0.6018145161290323,0.6398614932650252
30m,1,1,0.5923734385272846,0.586697305181585
30m,1,2,0.4321822712709149,0.43687610691621126
30m,1,3,0.36904761904761907,0.47162926986095843
30m,1,4,0.745674740484429,0.7283755561500485
30m,99,0,0.4183467741935484,0.47162596265309753
30m,99,1,0.48520710059171596,0.49020390314581247
30m,99,2,0.7308650765396938,0.7234826789191697
30m,99,3,0.5059523809523809,0.5749885107638507
30m,99,4,0.7932525951557093,0.7767274742759899
