setup,seed,fold,AUC,PR_AUC
30m,42,0,0.7318548387096774,0.7120698108200771
30m,42,1,0.5627876397107167,0.5857846126532914
30m,42,2,0.4279102883588466,0.42597055442731185
30m,42,3,0.7619047619047619,0.7985597735597736
30m,42,4,0.4333910034602076,0.49226402352989984
30m,123,0,0.6088709677419355,0.658734991060814
30m,123,1,0.7140039447731755,0.7318487534051962
30m,123,2,0.3374866500533998,0.3923430876829225
30m,123,3,0.7619047619047619,0.7609084705930079
30m,123,4,0.17474048442906576,0.3474013042791964
30m,7,0,0.5665322580645161,0.581005746766501
30m,7,1,0.68310322156476,0.6872040981767003
30m,7,2,0.5603417586329654,0.5041007213795087
30m,7,3,0.75,0.7105167493325387
30m,7,4,0.3391003460207612,0.40061511487522933
10m,42,0,0.7227822580645161,0.7747759884199921
10m,42,1,0.744904667981591,0.72107034954388
10m,42,2,0.4677821288714845,0.445769844527416
10m,42,3,0.8035714285714286,0.8629817185738239
10m,42,4,0.8036332179930796,0.8676203805347242
10m,123,0,0.7711693548387096,0.7525009013270836
10m,123,1,0.5529257067718606,0.5670307183442749
10m,123,2,0.27518689925240297,0.3709973372375549
10m,123,3,0.7142857142857143,0.8160605841526893
10m,123,4,0.21107266435986158,0.3558308245532493
10m,7,0,0.59375,0.6098779459646387
10m,7,1,0.7172912557527942,0.7347000882876309
10m,7,2,0.5389818440726237,0.48034106458882997
10m,7,3,0.7142857142857143,0.7296188172238592
10m,7,4,0.9022491349480969,0.9138734536250821
