epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,learning_rate,fold,encoder_learning_rate,head_learning_rate
1,-7.723828504883587e+16,0.7009762238573145,0.563503962304562,0.4499314128943759,0.11764705882352941,0.0,5e-06,1,5e-06,2e-05
2,-8.177262545892333e+16,0.702604905322746,0.35814606741573035,0.49794238683127573,0.0,0.0,5e-06,1,5e-06,2e-05
3,-8.511927483494045e+16,0.707209481133355,0.5293560606060606,0.5596707818930041,0.0,0.0,5e-06,1,5e-06,2e-05
4,-1.0455039829074198e+17,0.7110739085409377,0.5662587867742775,0.6186556927297668,0.0,0.0,5e-06,1,5e-06,2e-05
5,-1.470299220884255e+17,0.7238004229686879,,0.6186556927297668,0.0,0.0,5e-06,1,5e-06,2e-05
6,-1.8180021297669117e+17,0.742839722721665,0.35597826086956524,0.5185185185185185,0.0,0.0,5e-06,1,5e-06,2e-05
7,-2.2523497250904042e+17,0.7571799291504754,0.44427324088341036,0.4897119341563786,0.0,0.0,5e-06,1,5e-06,2e-05
8,-2.5913894256182483e+17,0.7693629066149393,,0.49794238683127573,0.0,0.0,5e-06,1,5e-06,2e-05
9,-2.430516443384505e+17,0.7867883245150248,0.6257022471910112,0.4842249657064472,0.0,0.0,5e-06,1,5e-06,2e-05
10,-2.94451730607174e+17,0.8031219553064417,,0.51440329218107,0.0,0.0,5e-06,1,5e-06,2e-05
11,-3.2336126892851635e+17,0.8229564141344141,,0.5432098765432098,0.0,0.0,5e-06,1,5e-06,2e-05
12,-3.659844815864216e+17,0.8468353858700505,,0.5829903978052127,0.0,0.0,5e-06,1,5e-06,2e-05
13,-3.167675469673119e+17,0.8707718495969419,0.29626373626373625,0.6227709190672154,0.0,0.0,5e-06,1,5e-06,2e-05
14,-3.865098314291115e+17,0.8916214329225046,0.5604395604395604,0.654320987654321,0.0,0.0,5e-06,1,5e-06,2e-05
15,-4.4913145298209504e+17,0.9189508756001791,,0.6255144032921811,0.0,0.0,5e-06,1,5e-06,2e-05
16,-4.299888414422516e+17,0.9398908416430155,0.5533707865168539,0.6460905349794238,0.0,0.0,5e-06,1,5e-06,2e-05
17,-4.53751714942273e+17,0.9647133173765959,0.7945945945945946,0.6707818930041153,0.0,0.0,5e-06,1,5e-06,2e-05
18,-4.205067283667576e+17,0.9915129630653946,0.5020525451559934,0.6995884773662552,0.0,0.0,5e-06,1,5e-06,2e-05
19,-5.4235004035317574e+17,1.025110368375425,,0.700960219478738,0.0,0.0,5e-06,1,5e-06,2e-05
20,-5.445611452706943e+17,1.0577079543360957,0.6092592592592593,0.7078189300411523,0.0,0.0,5e-06,1,5e-06,2e-05
21,-6.083065610620257e+17,1.0962259151317455,,0.6803840877914952,0.0,0.0,5e-06,1,5e-06,2e-05
22,-6.345823372690756e+17,1.130748090920625,,0.6474622770919067,0.0,0.0,5e-06,1,5e-06,2e-05
23,-5.991310250211596e+17,1.1648548664870086,0.2586520947176685,0.6556927297668038,0.0,0.0,5e-06,1,5e-06,2e-05
24,-7.085659385644529e+17,1.1936337638784338,,0.6556927297668038,0.0,0.0,5e-06,1,5e-06,2e-05
25,-7.242853451242301e+17,1.2341804504394531,,0.6680384087791496,0.0,0.0,5e-06,1,5e-06,2e-05
26,-7.589012619219386e+17,1.2795622790301289,,0.6872427983539094,0.0,0.0,5e-06,1,5e-06,2e-05
27,-6.025015130864118e+17,1.307810381606773,0.6965361445783133,0.7229080932784636,0.0,0.0,5e-06,1,5e-06,2e-05
28,-7.854584379032529e+17,1.333786999737775,,0.7187928669410151,0.0,0.0,5e-06,1,5e-06,2e-05
29,-8.258804477312591e+17,1.3687745332717896,,0.7297668038408779,0.0,0.0,5e-06,1,5e-06,2e-05
30,-9.005035239520758e+17,1.416792838661759,,0.7283950617283951,0.0,0.0,5e-06,1,5e-06,2e-05
31,-9.230868081850153e+17,1.4522021567379986,,0.7283950617283951,0.0,0.0,5e-06,1,5e-06,2e-05
32,-8.828001316419864e+17,1.4864105295251917,,0.7133058984910837,0.0,0.0,5e-06,1,5e-06,2e-05
33,-9.325666522211831e+17,1.5409368188292891,,0.7187928669410151,0.0,0.0,5e-06,1,5e-06,2e-05
34,-9.966567752805736e+17,1.5850350989235773,,0.7146776406035665,0.0,0.0,5e-06,1,5e-06,2e-05
35,-9.412377017276096e+17,1.615934552969756,0.6959269662921348,0.7050754458161865,0.0,0.0,5e-06,1,5e-06,2e-05
36,-9.892139269397532e+17,1.6740623006114252,,0.7160493827160493,0.0,0.0,5e-06,1,5e-06,2e-05
37,-9.678449495721804e+17,1.7120270552458587,0.6640063846767758,0.663923182441701,0.0,0.0,5e-06,1,5e-06,2e-05
38,-1.1319611099092561e+18,1.7626096628330372,,0.6748971193415638,0.0,0.0,5e-06,1,5e-06,2e-05
39,-1.168417134618494e+18,1.8073620663748846,,0.6419753086419753,0.0,0.0,5e-06,1,5e-06,2e-05
40,-1.1468762548315689e+18,1.8516687287224665,,0.6611796982167353,0.0,0.0,5e-06,1,5e-06,2e-05
41,-1.156058058607351e+18,1.8965052984378956,0.27717391304347827,0.7078189300411523,0.0,0.0,5e-06,1,5e-06,2e-05
