arm,seed,fold,AUC
no_landcover_344,42,0,0.734375
no_landcover_344,42,1,0.5996055226824457
no_landcover_344,42,2,0.5265218939124243
no_landcover_344,42,3,0.5306122448979592
no_landcover_344,42,4,0.17906574394463667
no_landcover_344,123,0,0.521484375
no_landcover_344,123,1,0.650887573964497
no_landcover_344,123,2,0.61124955500178
no_landcover_344,123,3,0.4897959183673469
no_landcover_344,123,4,0.42993079584775085
no_landcover_344,7,0,0.2509765625
no_landcover_344,7,1,0.6962524654832347
no_landcover_344,7,2,0.6340334638661446
no_landcover_344,7,3,0.7091836734693877
no_landcover_344,7,4,0.5813148788927336
with_landcover_344,42,0,0.3505859375
with_landcover_344,42,1,0.4227481919789612
with_landcover_344,42,2,0.6710573157707369
with_landcover_344,42,3,0.6275510204081632
with_landcover_344,42,4,0.7837370242214533
with_landcover_344,123,0,0.33984375
with_landcover_344,123,1,0.40105193951347795
with_landcover_344,123,2,0.2744749021003916
with_landcover_344,123,3,0.5816326530612245
with_landcover_344,123,4,0.7448096885813149
with_landcover_344,7,0,0.6884765625
with_landcover_344,7,1,0.5463510848126233
with_landcover_344,7,2,0.5404058383766465
with_landcover_344,7,3,0.413265306122449
with_landcover_344,7,4,0.15916955017301038
