epoch,train_loss,val_loss,train_auc,val_auc,train_f1,val_f1,learning_rate,fold,encoder_learning_rate,head_learning_rate
1,-5.401364745004338e+16,0.6965742265736615,0.9271402550091075,0.5102880658436214,0.05405405405405406,0.0,5e-06,1,5e-06,2e-05
2,-1.0623877983749642e+17,0.7067870321097197,,0.4718792866941015,0.0,0.0,5e-06,1,5e-06,2e-05
3,-7.1308275404930456e+16,0.7157344001310842,0.4717566728739913,0.4499314128943759,0.0,0.0,5e-06,1,5e-06,2e-05
4,-1.1723021658435909e+17,0.7231052275057193,0.8292098962490024,0.44718792866941015,0.22222222222222224,0.0,5e-06,1,5e-06,2e-05
5,-1.9019502542161728e+17,0.7355521806964168,0.2798913043478261,0.438957475994513,0.0,0.0,5e-06,1,5e-06,2e-05
6,-2.1238277428484877e+17,0.7483249571588304,,0.40877914951989025,0.0,0.0,5e-06,1,5e-06,2e-05
7,-2.351437991753266e+17,0.7612092517040394,,0.4444444444444444,0.0,0.0,5e-06,1,5e-06,2e-05
8,-2.6009889789828902e+17,0.7806020489445439,,0.44718792866941015,0.0,0.0,5e-06,1,5e-06,2e-05
9,-2.6372254073627334e+17,0.8071769608391656,,0.4334705075445816,0.0,0.0,5e-06,1,5e-06,2e-05
10,-3.165143273648848e+17,0.8299592313943086,,0.40877914951989025,0.0,0.0,5e-06,1,5e-06,2e-05
11,-3.522066984610335e+17,0.8581776861791257,,0.3717421124828532,0.0,0.0,5e-06,1,5e-06,2e-05
12,-3.78533848311616e+17,0.8828888248514246,,0.34156378600823045,0.0,0.0,5e-06,1,5e-06,2e-05
13,-4.033731812964533e+17,0.9111018357453523,0.7189189189189189,0.33058984910836764,0.0,0.0,5e-06,1,5e-06,2e-05
