method,arm,seed,fold,AUC,PR_AUC
scratch,30m,42,0,0.960127591706539,0.9686845210818811
scratch,30m,42,1,0.6938775510204082,0.6856836888716417
scratch,30m,42,2,0.7394770408163265,0.620633497503747
scratch,30m,42,3,0.9054232804232805,0.9205543982956758
scratch,30m,42,4,0.8516233766233766,0.8773003294537319
masked_recon,30m,42,0,0.9119617224880383,0.908104339244663
masked_recon,30m,42,1,0.8051658163265306,0.7965805515825944
masked_recon,30m,42,2,0.8026147959183674,0.7038975457751037
masked_recon,30m,42,3,0.888558201058201,0.9196932830167264
masked_recon,30m,42,4,0.8996753246753246,0.912678875981085
cross_channel,30m,42,0,0.939712918660287,0.9510134399917795
cross_channel,30m,42,1,0.8504464285714286,0.833786726353651
cross_channel,30m,42,2,0.7780612244897959,0.7206075536500699
cross_channel,30m,42,3,0.9285714285714286,0.9441108093984764
cross_channel,30m,42,4,0.9642857142857143,0.9705353588016085
strip_jigsaw,30m,42,0,0.8526315789473684,0.83498494762522
strip_jigsaw,30m,42,1,0.7219387755102041,0.7373619404798731
strip_jigsaw,30m,42,2,0.6527423469387755,0.5613741785578279
strip_jigsaw,30m,42,3,0.8855820105820106,0.899760481905629
strip_jigsaw,30m,42,4,0.8811688311688312,0.8822314075941498
sequential,30m,42,0,0.9282296650717703,0.9216813838868766
sequential,30m,42,1,0.8144132653061225,0.798938458781728
sequential,30m,42,2,0.7866709183673469,0.6820445754577816
sequential,30m,42,3,0.9146825396825397,0.9316612213062173
sequential,30m,42,4,0.9103896103896104,0.9304451890821571
scratch,30m,123,0,0.9511961722488038,0.9461864671871006
scratch,30m,123,1,0.7528698979591837,0.7966152870821445
scratch,30m,123,2,0.5927933673469388,0.5456149245299168
scratch,30m,123,3,0.9212962962962963,0.936473410116955
scratch,30m,123,4,0.9224025974025974,0.9398742374914562
masked_recon,30m,123,0,0.9515151515151515,0.9577821841991123
masked_recon,30m,123,1,0.7761479591836735,0.8047316566447724
masked_recon,30m,123,2,0.7943239795918368,0.6806394025652656
masked_recon,30m,123,3,0.9212962962962963,0.9418072482774803
masked_recon,30m,123,4,0.9334415584415584,0.9449730828067163
cross_channel,30m,123,0,0.9154704944178629,0.9029558707976052
cross_channel,30m,123,1,0.8239795918367347,0.8286862864425389
cross_channel,30m,123,2,0.7177933673469388,0.6626681282655856
cross_channel,30m,123,3,0.9004629629629629,0.9238113627465673
