method,arm,seed,fold,AUC,PR_AUC
scratch,30m,42,0,0.8044354838709677,0.8179832169559
scratch,30m,42,1,0.702827087442472,0.7363214348701823
scratch,30m,42,2,0.6286934852260591,0.5364922288737818
scratch,30m,42,3,0.7678571428571429,0.756454966703414
scratch,30m,42,4,0.4005190311418685,0.42353301776826957
ssl,30m,42,0,0.3245967741935484,0.40374569198459953
ssl,30m,42,1,0.2675871137409599,0.3719011407115661
ssl,30m,42,2,0.518689925240299,0.5429058492894397
ssl,30m,42,3,0.5238095238095238,0.5750510323133055
ssl,30m,42,4,0.6185121107266436,0.57462804563398
scratch,30m,123,0,0.7237903225806451,0.7771953860777141
scratch,30m,123,1,0.5976331360946746,0.6070887207188451
scratch,30m,123,2,0.43681025275898894,0.4294686353124045
scratch,30m,123,3,0.7142857142857143,0.7360144057623049
scratch,30m,123,4,0.9108996539792388,0.9065290990673452
ssl,30m,123,0,0.7550403225806451,0.7721120962564357
ssl,30m,123,1,0.6699539776462854,0.7376239101182074
ssl,30m,123,2,0.6411534353862585,0.5772513548034597
ssl,30m,123,3,0.4583333333333333,0.6058384566641302
ssl,30m,123,4,0.606401384083045,0.6547882815299876
scratch,30m,7,0,0.626008064516129,0.5804614967275172
scratch,30m,7,1,0.6548323471400395,0.5867442366217067
scratch,30m,7,2,0.543253826984692,0.48713742677119143
scratch,30m,7,3,0.3392857142857143,0.5096794642977074
scratch,30m,7,4,0.32525951557093424,0.4212978435436767
ssl,30m,7,0,0.8004032258064516,0.8004687606456786
ssl,30m,7,1,0.37738330046022356,0.4263389120595046
ssl,30m,7,2,0.5496618013527946,0.5091251375923517
ssl,30m,7,3,0.6071428571428571,0.6609456952944349
ssl,30m,7,4,0.7413494809688581,0.7627602329346684
scratch,10m,42,0,0.625,0.6468269200347219
scratch,10m,42,1,0.502301117685733,0.4910067628609734
scratch,10m,42,2,0.41829832680669277,0.5090451295538528
scratch,10m,42,3,0.8154761904761905,0.864847177676125
scratch,10m,42,4,0.4796712802768166,0.579387506403846
ssl,10m,42,0,0.9375,0.35767403837853146
ssl,10m,42,1,0.63379355687048,0.5936095320333347
ssl,10m,42,2,0.4425062299750801,0.4376941656840934
ssl,10m,42,3,0.8095238095238095,0.8443446632732348
ssl,10m,42,4,0.3304498269896194,0.42258193207045197
scratch,10m,123,0,0.7278225806451613,0.7936218934002242
scratch,10m,123,1,0.5489809335963182,0.5274275983910507
scratch,10m,123,2,0.3891064435742257,0.41007774648771544
scratch,10m,123,3,0.9404761904761905,0.9563632639290535
scratch,10m,123,4,0.8598615916955017,0.894328144575224
ssl,10m,123,0,0.5745967741935484,0.5907202175023152
ssl,10m,123,1,0.6791584483892176,0.6222452118333777
ssl,10m,123,2,0.48202207191171237,0.47062328939024156
ssl,10m,123,3,0.8988095238095238,0.9276155217331689
ssl,10m,123,4,0.40657439446366783,0.4427426074281657
scratch,10m,7,0,0.6461693548387096,0.6045034425088133
scratch,10m,7,1,0.5660749506903353,0.5807045310240729
scratch,10m,7,2,0.5674617301530794,0.5950009588812978
scratch,10m,7,3,0.9523809523809523,0.9631562881562882
scratch,10m,7,4,0.49567474048442905,0.5823529298311398
ssl,10m,7,0,0.3790322580645161,0.4349272991297127
ssl,10m,7,1,0.6370808678500987,0.5822905916226002
ssl,10m,7,2,0.43681025275898894,0.432316857049573
ssl,10m,7,3,0.7023809523809523,0.7955894085029424
ssl,10m,7,4,0.2967128027681661,0.38488625365874773
